fips,name,total,non_hispanic,white,black,native,asian,pac,other,two,hispanic,year,state,county
0500000US01001,"Autauga County, Alabama",55380,53815,41315,10524,140,573,5,85,1173,1565,2019,Alabama,Autauga
0500000US01003,"Baldwin County, Alabama",212830,203119,176803,19525,1391,1955,9,344,3092,9711,2019,Alabama,Baldwin
0500000US01005,"Barbour County, Alabama",25361,24256,11618,12031,74,121,1,107,304,1105,2019,Alabama,Barbour
0500000US01007,"Bibb County, Alabama",22493,21914,16763,4981,30,27,0,0,113,579,2019,Alabama,Bibb
0500000US01009,"Blount County, Alabama",57681,52339,50121,881,40,212,25,214,846,5342,2019,Alabama,Blount
0500000US01011,"Bullock County, Alabama",10248,9986,2191,7666,0,50,0,1,78,262,2019,Alabama,Bullock
0500000US01013,"Butler County, Alabama",19828,19551,10232,8928,11,69,0,0,311,277,2019,Alabama,Butler
0500000US01015,"Calhoun County, Alabama",114618,110266,82608,23682,220,1007,14,185,2550,4352,2019,Alabama,Calhoun
0500000US01017,"Chambers County, Alabama",33660,32860,18697,13316,112,376,0,17,342,800,2019,Alabama,Chambers
0500000US01019,"Cherokee County, Alabama",25903,25490,23759,1191,280,64,0,0,196,413,2019,Alabama,Cherokee
0500000US01021,"Chilton County, Alabama",44055,40598,35302,4041,39,195,0,43,978,3457,2019,Alabama,Chilton
0500000US01023,"Choctaw County, Alabama",12925,12872,7287,5500,8,17,0,9,51,53,2019,Alabama,Choctaw
0500000US01025,"Clarke County, Alabama",24128,24049,12720,11044,26,104,0,0,155,79,2019,Alabama,Clarke
0500000US01027,"Clay County, Alabama",13337,12918,10717,2068,0,21,0,18,94,419,2019,Alabama,Clay
0500000US01029,"Cleburne County, Alabama",14916,14549,13826,410,14,3,0,13,283,367,2019,Alabama,Cleburne
0500000US01031,"Coffee County, Alabama",51662,47899,36239,8680,601,745,0,57,1577,3763,2019,Alabama,Coffee
0500000US01033,"Colbert County, Alabama",54771,53214,42830,8809,319,259,51,29,917,1557,2019,Alabama,Colbert
0500000US01035,"Conecuh County, Alabama",12394,12310,6203,5919,25,56,0,2,105,84,2019,Alabama,Conecuh
0500000US01037,"Coosa County, Alabama",10757,10648,6970,3615,8,0,0,55,0,109,2019,Alabama,Coosa
0500000US01039,"Covington County, Alabama",37200,36571,30984,4981,22,142,34,5,403,629,2019,Alabama,Covington
0500000US01041,"Crenshaw County, Alabama",13844,13734,9827,3202,92,175,9,0,429,110,2019,Alabama,Crenshaw
0500000US01043,"Cullman County, Alabama",82853,79242,76129,1034,234,314,0,48,1483,3611,2019,Alabama,Cullman
0500000US01045,"Dale County, Alabama",49277,46067,33787,9749,280,603,4,160,1484,3210,2019,Alabama,Dale
0500000US01047,"Dallas County, Alabama",39149,38730,10694,27572,37,222,5,0,200,419,2019,Alabama,Dallas
0500000US01049,"DeKalb County, Alabama",71310,60934,57359,1021,766,86,150,20,1532,10376,2019,Alabama,DeKalb
0500000US01051,"Elmore County, Alabama",81144,78740,59364,17223,211,439,0,173,1330,2404,2019,Alabama,Elmore
0500000US01053,"Escambia County, Alabama",37057,36192,22321,11850,1476,102,55,41,347,865,2019,Alabama,Escambia
0500000US01055,"Etowah County, Alabama",102748,98766,80001,15861,377,764,24,53,1686,3982,2019,Alabama,Etowah
0500000US01057,"Fayette County, Alabama",16494,16197,13937,1843,0,78,7,0,332,297,2019,Alabama,Fayette
0500000US01059,"Franklin County, Alabama",31466,26066,24181,1349,88,117,0,10,321,5400,2019,Alabama,Franklin
0500000US01061,"Geneva County, Alabama",26417,25366,22151,2487,236,115,12,0,365,1051,2019,Alabama,Geneva
0500000US01063,"Greene County, Alabama",8324,8179,1435,6614,37,0,0,0,93,145,2019,Alabama,Greene
0500000US01065,"Hale County, Alabama",14809,14805,5854,8792,30,33,0,32,64,4,2019,Alabama,Hale
0500000US01067,"Henry County, Alabama",17133,16684,11851,4549,30,68,17,0,169,449,2019,Alabama,Henry
0500000US01069,"Houston County, Alabama",104702,101223,69580,28021,262,909,45,296,2110,3479,2019,Alabama,Houston
0500000US01071,"Jackson County, Alabama",51852,50333,46277,1775,582,232,55,43,1369,1519,2019,Alabama,Jackson
0500000US01073,"Jefferson County, Alabama",659680,634123,329108,282363,1052,10335,201,1316,9748,25557,2019,Alabama,Jefferson
0500000US01075,"Lamar County, Alabama",13885,13656,11940,1479,3,17,0,106,111,229,2019,Alabama,Lamar
0500000US01077,"Lauderdale County, Alabama",92556,90080,78414,9388,363,593,62,104,1156,2476,2019,Alabama,Lauderdale
0500000US01079,"Lawrence County, Alabama",33058,32334,25285,3496,1852,65,27,0,1609,724,2019,Alabama,Lawrence
0500000US01081,"Lee County, Alabama",161152,155227,108684,36623,296,6626,0,273,2725,5925,2019,Alabama,Lee
0500000US01083,"Limestone County, Alabama",94727,89027,72508,12880,648,1301,54,21,1615,5700,2019,Alabama,Limestone
0500000US01085,"Lowndes County, Alabama",10079,10029,2485,7495,13,0,0,0,36,50,2019,Alabama,Lowndes
0500000US01087,"Macon County, Alabama",18708,18556,2966,15442,16,32,0,11,89,152,2019,Alabama,Macon
0500000US01089,"Madison County, Alabama",362276,344348,234316,87115,2044,9492,290,1032,10059,17928,2019,Alabama,Madison
0500000US01091,"Marengo County, Alabama",19321,19125,8672,10348,21,0,0,0,84,196,2019,Alabama,Marengo
0500000US01093,"Marion County, Alabama",29866,29089,27433,1025,141,54,0,0,436,777,2019,Alabama,Marion
0500000US01095,"Marshall County, Alabama",95643,82286,77236,2549,349,573,51,98,1430,13357,2019,Alabama,Marshall
