fips,name,total,white,black,native,asian,pac,other,two,hispanic,white_alone,year,state,county
0500000US30055,"McCone County, Montana",,0,0,0,0,0,0,0,0,0,2010,Montana,McCone
0500000US40025,"Cimarron County, Oklahoma",,0,0,0,0,0,0,0,0,0,2010,Oklahoma,Cimarron
0500000US40027,"Cleveland County, Oklahoma",56582.0,41079,2094,2546,1754,113,1754,7242,5771,38532,2010,Oklahoma,Cleveland
0500000US40029,"Coal County, Oklahoma",,0,0,0,0,0,0,0,0,0,2010,Oklahoma,Coal
0500000US40031,"Comanche County, Oklahoma",29778.0,15931,6283,1787,357,149,1012,4258,4705,14115,2010,Oklahoma,Comanche
0500000US40033,"Cotton County, Oklahoma",,0,0,0,0,0,0,0,0,0,2010,Oklahoma,Cotton
0500000US40035,"Craig County, Oklahoma",,0,0,0,0,0,0,0,0,0,2010,Oklahoma,Craig
0500000US40037,"Creek County, Oklahoma",17346.0,12437,364,1526,104,17,173,2706,885,12073,2010,Oklahoma,Creek
0500000US40039,"Custer County, Oklahoma",,0,0,0,0,0,0,0,0,0,2010,Oklahoma,Custer
0500000US40041,"Delaware County, Oklahoma",9263.0,4733,102,3029,222,0,130,1047,565,4354,2010,Oklahoma,Delaware
0500000US40043,"Dewey County, Oklahoma",,0,0,0,0,0,0,0,0,0,2010,Oklahoma,Dewey
0500000US40045,"Ellis County, Oklahoma",,0,0,0,0,0,0,0,0,0,2010,Oklahoma,Ellis
0500000US40047,"Garfield County, Oklahoma",14497.0,11090,420,580,130,333,942,1000,1986,10293,2010,Oklahoma,Garfield
0500000US40049,"Garvin County, Oklahoma",,0,0,0,0,0,0,0,0,0,2010,Oklahoma,Garvin
0500000US40051,"Grady County, Oklahoma",13124.0,10565,184,958,66,0,354,1011,1011,10040,2010,Oklahoma,Grady
0500000US40053,"Grant County, Oklahoma",,0,0,0,0,0,0,0,0,0,2010,Oklahoma,Grant
0500000US40055,"Greer County, Oklahoma",,0,0,0,0,0,0,0,0,0,2010,Oklahoma,Greer
0500000US40057,"Harmon County, Oklahoma",,0,0,0,0,0,0,0,0,0,2010,Oklahoma,Harmon
0500000US40059,"Harper County, Oklahoma",,0,0,0,0,0,0,0,0,0,2010,Oklahoma,Harper
0500000US40061,"Haskell County, Oklahoma",,0,0,0,0,0,0,0,0,0,2010,Oklahoma,Haskell
0500000US40063,"Hughes County, Oklahoma",,0,0,0,0,0,0,0,0,0,2010,Oklahoma,Hughes
0500000US40065,"Jackson County, Oklahoma",,0,0,0,0,0,0,0,0,0,2010,Oklahoma,Jackson
0500000US40023,"Choctaw County, Oklahoma",,0,0,0,0,0,0,0,0,0,2010,Oklahoma,Choctaw
0500000US40067,"Jefferson County, Oklahoma",,0,0,0,0,0,0,0,0,0,2010,Oklahoma,Jefferson
0500000US40021,"Cherokee County, Oklahoma",11101.0,3963,167,4207,122,0,477,2165,1232,3497,2010,Oklahoma,Cherokee
0500000US40017,"Canadian County, Oklahoma",29510.0,22988,561,1623,826,30,974,2538,2862,21719,2010,Oklahoma,Canadian
0500000US39151,"Stark County, Ohio",87405.0,72634,8216,262,612,0,524,5069,2098,71322,2010,Ohio,Stark
