total,non_hispanic,white,black,native,asian,pac,other,two,hispanic,fips,state,year
4830620,4637128,3204989,1270064,22201,58969,1579,5592,73734,193492,0400000US01,Alabama,2015
733375,685567,457470,23755,98450,42360,8550,979,54003,47808,0400000US02,Alaska,2015
6641928,4627217,3752853,264119,265099,194757,11422,7077,131890,2014711,0400000US04,Arizona,2015
2958208,2754982,2177308,456716,16428,39962,6727,2731,55110,203226,0400000US05,Arkansas,2015
38421464,23670778,14879258,2160795,142191,5192548,139009,84477,1072500,14750686,0400000US06,California,2015
5278906,4166320,3646224,203276,28448,150165,6886,9354,121967,1112586,0400000US08,Colorado,2015
3593222,3066714,2487119,346206,4856,149368,746,10560,67859,526508,0400000US09,Connecticut,2015
926454,845748,591922,195058,2542,33354,146,2177,20549,80706,0400000US10,Delaware,2015
647484,581681,230489,310678,1265,23494,218,1790,13747,65803,0400000US11,District of Columbia,2015
19645772,14985039,11013749,3035646,40591,499958,9630,51146,334319,4660733,0400000US12,Florida,2015
10006693,9091573,5460401,3054350,18344,358295,4081,23031,173071,915120,0400000US13,Georgia,2015
1406299,1267048,321832,26681,2117,517289,127479,1571,270079,139251,0400000US15,Hawaii,2015
1616547,1425233,1342562,9346,17233,20603,1748,1199,32542,191314,0400000US16,Idaho,2015
12873761,10750920,8041878,1818938,14228,641068,2567,17388,214853,2122841,0400000US17,Illinois,2015
6568645,6147439,5288121,594251,11827,120961,1774,8829,121676,421206,0400000US18,Indiana,2015
3093526,2925296,2703612,95692,8232,62554,1784,2399,51023,168230,0400000US19,Iowa,2015
2892987,2569769,2228789,164058,20209,75045,1627,1928,78113,323218,0400000US20,Kansas,2015
4397353,4253872,3762154,342305,7399,55118,2074,4613,80209,143481,0400000US21,Kentucky,2015
4625253,4406990,2751183,1474359,24437,77268,1757,8011,69975,218263,0400000US22,Louisiana,2015
1329100,1309653,1247808,14473,7523,14398,167,705,24579,19447,0400000US23,Maine,2015
5930538,5396867,3144084,1723335,11735,355373,2382,14715,145243,533671,0400000US24,Maryland,2015
6705586,5997658,4982325,434326,7947,398722,1275,42513,130550,707928,0400000US25,Massachusetts,2015
9900571,9433550,7513622,1366632,47055,267671,1823,12083,224664,467021,0400000US26,Michigan,2015
5419171,5148187,4427809,293837,51782,239529,1644,6405,127181,270984,0400000US27,Minnesota,2015
2988081,2901574,1714674,1112505,11999,28755,388,2436,30817,86507,0400000US28,Mississippi,2015
6045448,5812402,4849886,691629,22437,105394,5853,7717,129486,233046,0400000US29,Missouri,2015
1014699,981077,882585,4515,63479,6902,804,296,22496,33622,0400000US30,Montana,2015
1869365,1683097,1509631,85748,13183,37724,1140,1705,33966,186268,0400000US31,Nebraska,2015
2798636,2028083,1455277,225782,24538,211271,17078,4376,89761,770553,0400000US32,Nevada,2015
1324201,1282060,1210369,15485,1912,31130,228,1642,21294,42141,0400000US33,New Hampshire,2015
8904413,7216405,5093430,1132611,9653,799589,2081,39042,139999,1688008,0400000US34,New Jersey,2015
2084117,1097145,817048,38081,177257,27225,883,3811,32840,986972,0400000US35,New Mexico,2015
19673174,16053516,11170518,2831813,46324,1558536,4756,101300,340269,3619658,0400000US36,New York,2015
9845333,8975425,6324373,2084249,108254,242150,5254,20147,190998,869908,0400000US37,North Carolina,2015
721640,701071,628158,11549,37508,8819,277,333,14427,20569,0400000US38,North Dakota,2015
11575977,11185007,9291303,1393528,17079,214337,2619,14124,252017,390970,0400000US39,Ohio,2015
3849733,3478274,2591292,274214,267448,73346,4482,3107,264385,371459,0400000US40,Oklahoma,2015
3939233,3453587,3043010,69105,36347,154496,14334,5528,130767,485646,0400000US41,Oregon,2015
12779559,11964021,9979754,1347000,14554,389671,2227,19502,211313,815538,0400000US42,Pennsylvania,2015
1053661,909873,785245,56294,3899,33619,350,7362,23104,143788,0400000US44,Rhode Island,2015
4777576,4523484,3051116,1304459,13838,66426,2468,5038,80139,254092,0400000US45,South Carolina,2015
843190,815276,701699,12792,69951,10127,316,677,19714,27914,0400000US46,South Dakota,2015
6499615,6179525,4856869,1083640,14295,101353,2962,7245,113161,320090,0400000US47,Tennessee,2015
26538614,16342247,11635757,3070821,65378,1110772,18751,33723,407045,10196367,0400000US48,Texas,2015
2903379,2513523,2308090,29450,27538,63106,25540,4434,55365,389856,0400000US49,Utah,2015
626604,615913,586547,6722,1853,8690,193,656,11252,10691,0400000US50,Vermont,2015
8256630,7547474,5237848,1560316,17015,489610,4967,18053,219665,709156,0400000US51,Virginia,2015
6985464,6149976,4943228,243786,80838,530928,42532,9467,299197,835488,0400000US53,Washington,2015
1851420,1826012,1713434,60398,2726,13273,475,1370,34336,25408,0400000US54,West Virginia,2015
5742117,5377559,4729911,354364,46165,142833,1081,3922,99283,364558,0400000US55,Wisconsin,2015
579679,523981,489665,5974,11006,5163,397,143,11633,55698,0400000US56,Wyoming,2015
3583073,35785,24900,2807,76,2328,55,1660,3959,3547288,0400000US72,Puerto Rico,2015
4747424,4573434,3195148,1238196,24031,52207,1181,3446,59225,173990,0400000US01,Alabama,2011
700703,661491,451256,22224,95311,35401,6593,809,49897,39212,0400000US02,Alaska,2011
6337373,4472998,3686433,238499,256668,168066,11148,9152,103032,1864375,0400000US04,Arizona,2011
2895928,2718059,2166104,447041,15797,34521,4842,2662,47092,177869,0400000US05,Arkansas,2011
36969200,23216457,15028200,2159863,151324,4760615,132395,95169,888891,13752743,0400000US06,California,2011
