State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alabama,7886.0,7260.0,8115.0,6259.0,6278.0,6075.0,7280.0,7817,8791,8376,8432
Alaska,2157.0,2238.0,2260.0,1934.0,1973.0,2255.0,2424.0,2177,2032,2294,2425
Arizona,6222.0,9405.0,10709.0,13901.0,14788.0,12232.0,11107.0,10180,15395,12909,9684
Arkansas,10061.0,9552.0,9318.0,8735.0,7570.0,7831.0,8221.0,8049,7424,7118,7809
California,59858.0,62574.0,59793.0,59772.0,59291.0,57344.0,55304.0,52707,58362,55845,53124
Colorado,8587.0,8977.0,8867.0,8618.0,8390.0,8797.0,9818.0,10078,10253,10478,9820
Connecticut,8138.0,8245.0,6629.0,5916.0,6269.0,5620.0,6470.0,6938,6292,6497,5171
Delaware,1651.0,1903.0,1832.0,1465.0,1175.0,1202.0,1281.0,1236,976,977,919
District of Columbia,2022.0,1761.0,1681.0,1409.0,1055.0,946.0,961.0,1112,1136,1257,1054
Florida,37212.0,38228.0,39445.0,35978.0,33767.0,32421.0,31333.0,30364,27844,24927,21599
Georgia,,,,,,,,7647,8612,8107,6730
Hawaii,1395.0,1147.0,1184.0,1156.0,1100.0,1235.0,1195.0,1086,1098,1158,1150
Idaho,1335.0,1226.0,1222.0,1454.0,1394.0,1417.0,1650.0,1697,1774,1774,1764
Illinois,19159.0,11850.0,14776.0,13585.0,18322.0,21571.0,20668.0,20652,22275,23858,25303
Indiana,17564.0,15173.0,15853.0,17135.0,18203.0,20385.0,22090.0,22534,20159,18477,18036
Iowa,9743.0,8756.0,8476.0,8744.0,6121.0,5919.0,6437.0,7867,8529,8327,7625
Kansas,1212.0,1434.0,1530.0,1703.0,1668.0,1653.0,2017.0,3525,2594,2473,1998
Kentucky,11629.0,11810.0,11817.0,13468.0,11756.0,13191.0,12975.0,16614,17400,14731,12443
Louisiana,6138.0,7086.0,6216.0,8761.0,10065.0,10665.0,9682.0,9172,7983,7574,6091
Maine,3035.0,2806.0,3508.0,3501.0,3424.0,3085.0,3158.0,3042,3021,3874,4030
Maryland,9183.0,10762.0,10742.0,9885.0,7507.0,5700.0,5869.0,6296,6507,6559,6424
Massachusetts,19889.0,16462.0,15523.0,16523.0,25721.0,25272.0,25452.0,20385,20750,20075,17947
Michigan,25111.0,26819.0,27274.0,27715.0,25344.0,28753.0,30902.0,31306,30705,26210,21484
Minnesota,3467.0,3346.0,3394.0,3227.0,3179.0,4013.0,5792.0,6469,5617,4951,4709
Mississippi,5806.0,5120.0,5967.0,5577.0,6294.0,6726.0,8368.0,8688,8252,7793,6812
Missouri,4711.0,5108.0,4058.0,4560.0,4687.0,4940.0,4765.0,4013,5108,4252,4015
Montana,1017.0,774.0,968.0,1001.0,902.0,1316.0,2332.0,2615,2704,2686,2630
Nebraska,3180.0,3012.0,2696.0,2802.0,2830.0,2445.0,1976.0,2240,1859,2022,1648
Nevada,3785.0,4275.0,4519.0,4394.0,3728.0,3975.0,3989.0,3936,4120,4000,4094
New Hampshire,741.0,761.0,822.0,784.0,609.0,673.0,816.0,1074,1154,1112,1008
New Jersey,6935.0,6414.0,6906.0,7351.0,9094.0,7518.0,6447.0,5097,4589,4026,2826
New Mexico,4530.0,4775.0,5023.0,5578.0,6570.0,7421.0,6504.0,7260,6832,6702,5852
New York,61886.0,58078.0,55009.0,51985.0,51955.0,52852.0,51199.0,56260,54550,52669,45922
North Carolina,4633.0,4758.0,4679.0,4099.0,4254.0,4110.0,3710.0,3832,3409,2770,5414
North Dakota,758.0,873.0,1005.0,1085.0,1196.0,1276.0,1344.0,1450,1558,1344,1200
Ohio,25494.0,24644.0,24011.0,22696.0,20510.0,18690.0,19294.0,20290,20567,21190,19599
Oklahoma,7044.0,7492.0,9205.0,10682.0,12019.0,12807.0,12323.0,12548,12929,12901,12487
Oregon,,,7054.0,7959.0,7784.0,8010.0,8999.0,8458,9486,10056,8541
Pennsylvania,3597.0,3295.0,3435.0,3356.0,3279.0,4438.0,4653.0,5062,4865,4941,4615
Puerto Rico,6536.0,6271.0,5296.0,6080.0,5710.0,5245.0,,4415,3347,3666,2734
Rhode Island,2607.0,2541.0,2555.0,2510.0,2622.0,2464.0,2309.0,2467,2846,2508,2141
South Carolina,8808.0,8550.0,8677.0,8001.0,9497.0,11418.0,13210.0,12599,14350,13630,10727
South Dakota,927.0,963.0,839.0,691.0,645.0,694.0,881.0,941,933,1099,1097
Tennessee,5271.0,8082.0,8764.0,9100.0,10280.0,9881.0,9611.0,9231,9116,9428,8493
Texas,51428.0,50358.0,49779.0,51376.0,52226.0,50880.0,45926.0,48380,49563,49969,50567
Utah,9049.0,7743.0,7057.0,6955.0,7447.0,7303.0,7284.0,7543,7784,7851,7197
Vermont,552.0,519.0,535.0,639.0,655.0,732.0,695.0,724,782,709,419
Virginia,5352.0,5092.0,4883.0,4775.0,5392.0,5014.0,4901.0,5092,5074,5005,4728
Washington,5609.0,5593.0,5621.0,6108.0,6156.0,5044.0,4207.0,3805,3881,3693,3315
West Virginia,3498.0,3626.0,4171.0,4245.0,4472.0,4402.0,5242.0,5692,6252,5959,5359
Wisconsin,3870.0,4061.0,3920.0,3689.0,3921.0,3904.0,3886.0,3933,4031,3668,3345
Wyoming,546.0,547.0,528.0,552.0,636.0,716.0,728.0,721,780,849,729
